"","X","name","url","state","town","vertical","base","snow","trails","acres","longestRun","snowMaking","lifts","lat","lon","ticket"
"24",24,"Boreal Mountain Resort","http://www.skicentral.com/borealmountainresort.html","California","Soda Springs, California ",500,7200,400,34,380,"5280 feet / 1609 metres","yes",10,39.3364539,-120.3498347,49
"25",25,"China Peak","http://www.skicentral.com/chinapeak.html","California","Lakeshore, California Mountain",1679,7030,300,45,1200,"2 miles / 3.2 km","character(0)",11,37.2365255,-119.1572742,79
"26",26,"Donner Ski Ranch","http://www.skicentral.com/donnerskiranch.html","California","Norden, California ",750,7031,396,52,460,"1.5 miles / 2.4 km","character(0)",8,39.3182549,-120.3300825,69
"27",27,"June Mountain","http://www.skicentral.com/junemountain.html","California","June Lake, California ",2590,7545,250,35,1500,"2 miles / 3.2 km","character(0)",7,37.7679169,-119.0906293,95
"28",28,"Mountain High Ski Area","http://www.skicentral.com/mountainhighskiarea.html","California","Wrightwood, California ",1600,6600,132,59,290,"n/a","yes",14,34.3769418,-117.6915242,79
"29",29,"Mount Shasta","http://www.skicentral.com/mountshasta.html","California","Dunsmuir, California Mountain",1435,5500,275,32,425,"1.75 miles / 2.8 km","yes",5,41.3098746,-122.3105666,59
"30",30,"Mount Waterman","http://www.skicentral.com/mountwaterman.html","California","La Canada Flintridge, California Mountain",1030,7000,NA,27,150,"n/a","no",3,34.3493069,-117.9287896,60
"31",31,"Mt. Baldy","http://www.skicentral.com/mtbaldy.html","California","character(0)",2100,6500,170,26,800,"2.5 miles / 4 km","yes",4,34.2363809,-117.6589752,47
"32",32,"Buckhorn Ski/Snowboard Club","http://www.skicentral.com/buckhornskisnowboardclub.html","California","character(0)",680,7203,180,5,40,"n/a","no",2,34.341899,-117.919709,NA
"33",33,"Boreal Mountain Terrain Park","http://www.skicentral.com/borealmountainterrainpark.html","California","Soda Springs, California ",NA,NA,NA,0,NA,"n/a","character(0)",0,39.3364539,-120.3498347,49
"34",34,"Snow Summit Mountain Resort","http://www.skicentral.com/snowsummit.html","California","Big Bear Lake, California ",1200,7000,100,31,240,"1.25 miles / 2 km","yes",14,34.236346,-116.8890035,94
"35",35,"Snow Valley","http://www.skicentral.com/snowvalley.html","California","Running Springs, California ",1041,6800,150,29,240,"n/a","yes",12,34.2248821,-117.036177,74
"36",36,"Soda Springs","http://www.skicentral.com/sodasprings.html","California","Soda Springs, California ",550,6750,400,15,NA,"n/a","yes",4,39.3232377,-120.3799251,50
"37",37,"Yosemite Ski & Snowboard Area","http://www.skicentral.com/badgerpassskiarea.html","California","character(0)",800,7200,NA,10,NA,"n/a","character(0)",5,37.6622677,-119.6633655,47
"38",38,"Alta Sierra at Shirley Meadows","http://www.skicentral.com/altasierraatshirleymeadows.html","California","Wofford Heights, California Mountain",600,6491,80,11,80,"n/a","yes",3,35.71083,-118.55556,50
"39",39,"Tahoe Donner","http://www.skicentral.com/tahoedonner.html","California","Truckee, California ",600,6750,NA,15,120,"5280 feet / 1609 metres","yes",5,39.3436502,-120.2148804,64
"40",40,"Vail Resort","http://www.skicentral.com/vail.html","Colorado","Vail, Colorado 25-40% Off Vail Lodging & Early Booking Ski Package SpecialsVail lodging and complete ski packages 25-40% off early booking special! Rocky ",3450,8120,350,193,5289,"4 miles / 6.4 km","yes",31,39.6061444,-106.3549717,154
"41",41,"Breckenridge Resort","http://www.skicentral.com/breckenridge.html","Colorado","Breckenridge, Colorado Up to 40% Off Breckenridge Lodging & Early Booking Lift Ticket DealsPremium Breckenridge lodging up to 40% off. Book early & save with Rocky ",3398,9600,300,155,2358,"3.5 miles / 5.6 km","yes",31,39.4802271,-106.0666975,141
"42",42,"Aspen","http://www.skicentral.com/aspen.html","Colorado","Aspen, Colorado Up to 40% Off Premier Aspen Lodging & Early Booking Lift Ticket SpecialsPremier Aspen lodging up to 40% off & early booking lift ticket specials. Book early & save with Rocky ",3267,7945,300,76,675,"3 miles / 4.8 km","yes",8,39.1910983,-106.8175387,155
"43",43,"Steamboat","http://www.skicentral.com/steamboat.html","Colorado","Steamboat Springs, Colorado 25-40% Off Steamboat Lodging & Ski PackagesPremier Steamboat lodging up to 40% off & early booking lift ticket specials. Kids ski free. Book early & save with Rocky ",3668,6900,349,165,2965,"3.1 miles / 5 km","yes",18,40.4849769,-106.8317158,130
"44",44,"Keystone Resort","http://www.skicentral.com/keystone.html","Colorado","Keystone, Colorado Up to 50% Off Keystone Resort Lodging & Early Booking Lift Ticket DiscountsKeystone lodging up to 50% off & early booking lift ticket specials. Book early & save with Rocky ",3128,9280,230,135,3148,"3.5 miles / 5.6 km","yes",19,39.604538,-105.9545293,114
"45",45,"Winter Park","http://www.skicentral.com/winterpark.html","Colorado","Winter Park, Colorado 33% Off Winter Park Lodging & Ski PackagesWinter Park early booking specials. Premier lodging and complete ski packages 33% off. Rocky ",2610,9000,350,143,2733,"5.1 miles / 8.2 km","yes",25,39.8916537,-105.7630624,124
"46",46,"Copper Mountain Resort","http://www.skicentral.com/copper.html","Colorado","Copper Mountain, Colorado Copper ",2601,9712,282,126,2465,"1.7 miles / 2.7 km","yes",22,39.502141,-106.1509952,150
"47",47,"Beaver Creek Resort","http://www.skicentral.com/beavercreek.html","Colorado","Avon, Colorado Up to 45% Off Beaver Creek Lodging & Early Booking Lift Ticket SpecialsPremier Beaver Creek lodging up to 45% off & early booking lift ticket specials. Book early & save with Rocky ",4040,8100,310,149,1815,"n/a","character(0)",17,39.6042863,-106.5167109,154
"48",48,"Snowmass","http://www.skicentral.com/snowmass.html","Colorado","Snowmass Village, Colorado Up to 35% Off Snowmass Lodging & Early Booking Lift Ticket DiscountsPremier Snowmass lodging up to 35% off & early booking lift ticket specials. Book early & save with Rocky ",4406,8104,300,91,3132,"5.3 miles / 8.5 km","yes",21,39.3310273,-106.9848271,155
"49",49,"Telluride Ski Resort","http://www.skicentral.com/telluride.html","Colorado","Telluride, Colorado 25-40% Off Telluride Lodging & Ski Vacation PackagesPremier Telluride lodging up to 40% off & early booking lift ticket specials. Book early & save with Rocky ",3845,8725,309,125,2000,"4.6 miles / 7.4 km","yes",18,37.9129086,-107.8381824,NA
"50",50,"Arapahoe Basin","http://www.skicentral.com/arapahoe.html","Colorado","Keystone, Colorado ",2270,10780,350,105,900,"1.5 miles / 2.4 km","yes",7,39.642312,-105.871685,95
"51",51,"Crested Butte Mountain Resort","http://www.skicentral.com/crestedbutte.html","Colorado","Crested Butte, Colorado Up to 30% Off Crested Butte Lodging & Ski PackagesCrested Butte lodging and complete ski packages up to 30% off. Book early & save with Rocky ",2775,9375,300,121,1167,"2.6 miles / 4.2 km","yes",16,38.899137,-106.9653945,117
"52",52,"Loveland Ski Area","http://www.skicentral.com/loveland.html","Colorado","Georgetown, Colorado ",2210,10800,400,93,1570,"2 miles / 3.2 km","yes",10,39.6800375,-105.8979465,75
"53",53,"Monarch","http://www.skicentral.com/monarch.html","Colorado","Salida, Colorado Mountain",1162,10790,350,63,800,"5280 feet / 1609 metres","no",6,38.5526022,-106.2939187,89
"54",54,"Powderhorn Resort","http://www.skicentral.com/powderhornresort.html","Colorado","Mesa, Colorado Mountain",1650,8200,250,63,600,"9504 feet / 2897 meters","yes",5,39.0693962,-108.1507337,71
"55",55,"Purgatory Resort","http://www.skicentral.com/purgatory.html","Colorado","Durango, Colorado ",2029,8793,260,88,250,"n/a","yes",10,37.6302699,-107.8140452,89
"56",56,"Silverton Mountain","http://www.skicentral.com/silvertonmountain.html","Colorado","Silverton, Colorado ",1900,10400,400,0,1819,"n/a","character(0)",1,37.884608,-107.665919,69
"57",57,"Ski Cooper","http://www.skicentral.com/skicooper.html","Colorado","Leadville, Colorado ",1200,10500,260,39,400,"1.4 miles / 2.3 km","character(0)",4,39.360788,-106.302809,54
"58",58,"Ski Hesperus","http://www.skicentral.com/skihesperus.html","Colorado","Hesperus, Colorado ",700,8100,150,13,80,"n/a","character(0)",2,37.2995933,-108.055101,39
"59",59,"Howelsen Hill Ski Area","http://www.skicentral.com/howelsenhillskiarea.html","Colorado","Steamboat Springs, Colorado Mountain",440,6696,NA,17,NA,"n/a","yes",4,40.4833683,-106.8379721,25
"60",60,"Ski Granby Ranch","http://www.skicentral.com/solvista.html","Colorado","Granby, Colorado ",1000,8202,220,33,406,"3168 feet / 966 metres","no",5,40.0452206,-105.9061962,73
"61",61,"Eldora Mountain Resort","http://www.skicentral.com/eldora.html","Colorado","Nederland, Colorado ",1600,9200,300,53,680,"3 miles / 4.8 km","yes",12,39.9372203,-105.5826786,54
"62",62,"Steamboat Powdercats","http://www.skicentral.com/steamboatpowdercats.html","Colorado","Steamboat Springs, Colorado Mountain",NA,NA,NA,0,NA,"n/a","character(0)",0,40.460001,-106.805852,NA
"63",63,"Sunlight Mountain","http://www.skicentral.com/sunlight.html","Colorado","Glenwood Springs, Colorado ",2010,7885,250,67,470,"2.5 miles / 4 km","yes",3,39.3997821,-107.3387647,65
"64",64,"Echo Mountain","http://www.skicentral.com/echomountain.html","Colorado","Idaho Springs, Colorado ",660,NA,220,16,NA,"n/a","character(0)",3,39.6845817,-105.5193928,44
"65",65,"Kendall Mountain Recreation Area","http://www.skicentral.com/kendallmountainrecreationarea.html","Colorado","Silverton, Colorado ",240,NA,NA,4,NA,"n/a","character(0)",1,37.8112094,-107.6569087,25
"66",66,"Buttermilk","http://www.skicentral.com/buttermilk.html","Colorado","Aspen, Colorado ",2030,7870,200,44,470,"3 miles / 4.8 km","yes",8,39.2057944,-106.8604932,155
"67",67,"Wolf Creek","http://www.skicentral.com/wolfcreek.html","Colorado","Pagosa Springs, Colorado Mountain",1604,10300,465,77,1600,"2 miles / 3.2 km","no",7,37.474759,-106.793583,70
"68",68,"Sun Valley","http://www.skicentral.com/sunvalley.html","Idaho","Sun Valley, Idaho Sun Valley Lodging & Ski Vacation Package Specials!Premier Sun Valley lodging & complete ski vacation packages specials. Book early & save with Rocky ",3400,5750,200,121,2154,"3 miles / 4.8 km","yes",18,43.6971294,-114.3517172,113
"69",69,"Schweitzer Mountain Resort","http://www.skicentral.com/schweitzer.html","Idaho","Sandpoint, Idaho ",2400,3960,300,92,2900,"2 miles / 3.2 km","character(0)",9,48.367287,-116.623398,79
"70",70,"Bogus Basin","http://www.skicentral.com/bogusbasin.html","Idaho","Boise, Idaho Mountain",1800,5800,225,53,2600,"1.5 miles / 2.4 km","no",9,43.7640569,-116.1026168,62
"71",71,"Brundage","http://www.skicentral.com/brundage.html","Idaho","McCall, Idaho ",1800,5840,320,46,1500,"2 miles / 3.2 km","no",5,45.0054,-116.1544121,67
"72",72,"Silver Mountain","http://www.skicentral.com/silvermountain.html","Idaho","Kellogg, Idaho ",2200,4100,300,73,1600,"2.5 miles / 4 km","character(0)",7,47.540718,-116.133171,56
"73",73,"Tamarack Resort","http://www.skicentral.com/tamarackresort.html","Idaho","character(0)",2800,4900,300,42,1000,"2800 feet / 853 meters","yes",6,44.669782,-116.124104,69
"74",74,"Pebble Creek Ski Area","http://www.skicentral.com/pebblecreek.html","Idaho","Inkom, Idaho Mountain",2200,6360,250,54,1100,"1.1 miles / 1.8 km","character(0)",3,42.7785584,-112.1592794,47
"75",75,"Kelly Canyon","http://www.skicentral.com/kellycanyon.html","Idaho","Ririe, Idaho Mountain",1000,5600,200,51,640,"6900 feet / 2103 meters","character(0)",5,43.644534,-111.6308829,42
"76",76,"Lookout Pass Ski Area","http://www.skicentral.com/lookoutpassskiarea.html","Idaho","Mullan, Idaho ",1150,4500,400,34,540,"1.5 miles / 2.4 km","character(0)",4,47.456024,-115.6972519,45
"77",77,"Pomerelle Mountain Resort","http://www.skicentral.com/pomerellemountainresort.html","Idaho","Albion, Idaho ",1000,7760,500,24,500,"1.5 miles / 2.4 km","no",3,42.3179871,-113.6077523,45
"78",78,"Magic Mountain","http://www.skicentral.com/magicmountainresort.html","Idaho","Hansen, Idaho ",740,6500,230,11,120,"5200 feet / 1585 meters","character(0)",3,42.1889598,-114.2853627,32
"79",79,"Snowhaven Ski and Tubing Hill","http://www.skicentral.com/snowhaven.html","Idaho","Grangeville, Idaho Mountain",400,5200,60,9,40,"n/a","no",2,45.867481,-116.089268,19
"80",80,"Soldier Mountain","http://www.skicentral.com/soldiermountain.html","Idaho","Fairfield, Idaho ",1400,5752,100,36,1150,"n/a","no",3,43.485512,-114.82938,43
"81",81,"Cottonwood Butte","http://www.skicentral.com/cottonwoodbutte.html","Idaho","Cottonwood, Idaho Mountain",845,4280,NA,7,260,"n/a","character(0)",2,46.0755855,-116.4526032,20
"82",82,"Bald Mountain Ski Area","http://www.skicentral.com/baldmountainskiarea.html","Idaho","Pierce, Idaho ",684,4000,100,19,140,"n/a","character(0)",2,46.574749,-115.870799,NA
"83",83,"Whitefish Resort at Big Mountain","http://www.skicentral.com/bigmountain.html","Montana","Whitefish, Montana Free Nights & Big Discounts on Premier Whitefish Lodging & Ski PackagesComplete packages, exclusive specials, & expert knowledge to ski Whitefish. Book with the experts! ",2353,4464,300,98,3000,"3.3 miles / 5.3 km","yes",14,48.4805905,-114.3503233,79
"84",84,"Big Sky Resort","http://www.skicentral.com/bigsky.html","Montana","Big Sky, Montana 25-40% Off Big Sky Lodging & Ski PackagesPremier Big Sky lodging up to 40% off & early booking lift ticket specials. ",4350,7500,400,300,5800,"6 miles / 9.7 km","character(0)",22,45.2857289,-111.4012076,115
"85",85,"Bridger Bowl","http://www.skicentral.com/bridgerbowl.html","Montana","Bozeman, Montana Mountain",2700,6100,350,71,2000,"3 miles / 4.8 km","character(0)",7,45.8173562,-110.8966184,60
"86",86,"Moonlight Basin","http://www.skicentral.com/moonlightbasin.html","Montana","character(0)",2720,7000,400,101,1900,"2.8 miles / 4.5 km","character(0)",6,45.295039,-111.421611,115
"87",87,"Red Lodge Mountain Resort","http://www.skicentral.com/redlodge.html","Montana","Red Lodge, Montana ",2400,7016,NA,65,NA,"2.5 miles / 4 km","yes",8,45.1908081,-109.3364169,57
"88",88,"Lost Trail Powder Mountain","http://www.skicentral.com/losttrailpowdermountain.html","Montana","character(0)",1800,6400,300,50,1800,"2.5 miles / 4 km","character(0)",8,45.6935102,-113.9501248,46
"89",89,"Blacktail Mountain","http://www.skicentral.com/blacktail.html","Montana","Lakeside, Montana ",1440,5236,250,24,NA,"1.75 miles / 2.8 km","no",4,48.0148431,-114.3695774,42
"90",90,"Bear Paw Ski Bowl","http://www.skicentral.com/bearpawskibowl.html","Montana","character(0)",900,4200,140,11,80,"3485 feet / 1062 metres","character(0)",2,48.1649918,-109.6701448,20
"91",91,"Discovery Basin","http://www.skicentral.com/discoverybasin.html","Montana","character(0)",2388,5770,215,67,2200,"1.5 miles / 2.4 km","yes",8,46.2381883,-113.2437844,46
"92",92,"Great Divide Snowsports","http://www.skicentral.com/greatdividesnowsports.html","Montana","character(0)",1500,5900,180,140,NA,"n/a","yes",6,46.753073,-112.313478,48
"93",93,"Montana Snowbowl","http://www.skicentral.com/montanasnowbowl.html","Montana","Missoula, Montana Mountain",2600,5000,300,39,950,"3 miles / 4.8 km","character(0)",4,47.014436,-113.999568,48
"94",94,"Maverick Mountain","http://www.skicentral.com/maverickmountain.html","Montana","character(0)",2020,6500,250,24,255,"n/a","character(0)",2,45.4339155,-113.128581,38
"95",95,"Showdown","http://www.skicentral.com/showdown.html","Montana","Neihart, Montana Mountain",1400,6800,255,36,640,"n/a","character(0)",4,46.8383601,-110.7004838,45
"96",96,"Teton Pass Ski Resort","http://www.skicentral.com/tetonpassskiresort.html","Montana","Choteau, Montana Mountain",1000,6190,250,43,407,"n/a","character(0)",3,47.9298126,-112.8109541,45
"97",97,"Turner Mountain","http://www.skicentral.com/turnermountain.html","Montana","character(0)",2110,3842,NA,22,NA,"n/a","character(0)",1,48.6049538,-115.6309044,38
"98",98,"Diamond Peak","http://www.skicentral.com/diamondpeak.html","Nevada","Incline Village, Nevada Mountain",1840,6700,325,30,655,"2.5 miles / 4 km","yes",6,39.2545156,-119.9138611,79
"99",99,"Mt. Rose","http://www.skicentral.com/mt.rose.html","Nevada","Reno, Nevada Mountain",1800,7900,350,60,1200,"2.5 miles / 4 km","yes",8,39.3437237,-119.9171448,99
"100",100,"Lee Canyon","http://www.skicentral.com/lasvegasskisnowboardresort.html","Nevada","Las Vegas, Nevada Mountain",860,8510,212,30,195,"n/a","yes",3,36.3037622,-115.6796317,58
"101",101,"Snobowl in Elko County","http://www.skicentral.com/snobowlinelkocounty.html","Nevada","Elko, Nevada Mountain",700,NA,NA,10,60,"5280 feet / 1609 metres","character(0)",2,40.9090738,-115.8524369,NA
"102",102,"Taos Ski Valley","http://www.skicentral.com/taos.html","New Mexico","Taos Ski Valley, New Mexico Mountain",3250,9200,305,110,1294,"n/a","yes",15,36.5959999,-105.4545,105
"103",103,"Angel Fire Resort","http://www.skicentral.com/angelfire.html","New Mexico","Angel Fire, New Mexico Mountain",2077,8600,210,74,560,"n/a","character(0)",7,36.3876741,-105.2732813,77
"104",104,"Ski Apache","http://www.skicentral.com/skiapache.html","New Mexico","Alto, New Mexico Mountain",1900,9600,180,55,750,"n/a","yes",11,33.3973802,-105.7887037,59
"105",105,"Ski Santa Fe","http://www.skicentral.com/santafe.html","New Mexico","Santa Fe, New Mexico Mountain",1725,NA,225,74,660,"3 miles / 4.8 km","yes",7,35.796254,-105.802369,78
"106",106,"Red River","http://www.skicentral.com/redriver.html","New Mexico","Red River, New Mexico Mountain",1600,8750,214,57,NA,"n/a","yes",7,36.7080849,-105.4061159,76
"107",107,"Sandia Peak Ski & Tramway","http://www.skicentral.com/sandiapeakskitramway.html","New Mexico","character(0)",1700,8678,125,39,200,"n/a","yes",5,35.2070031,-106.4134427,55
"108",108,"Sipapu Ski & Summer Resort","http://www.skicentral.com/sipapuskisummerresort.html","New Mexico","Vadito, New Mexico Mountain",1055,8200,190,41,200,"n/a","character(0)",5,36.154222,-105.5482163,45
"109",109,"Ski Cloudcroft","http://www.skicentral.com/skicloudcroft.html","New Mexico","Cloudcroft, New Mexico Mountain",700,8400,120,25,74,"n/a","character(0)",2,32.9538,-105.709677,45
"110",110,"Pajarito Mountain","http://www.skicentral.com/skipajaritomountain.html","New Mexico","Los Alamos, New Mexico ",1240,9000,125,40,300,"n/a","yes",6,35.8950144,-106.3909148,49
"111",111,"Timberline Lodge","http://www.skicentral.com/timberlinelodge.html","Oregon","Government Camp, Oregon Mountain",3690,NA,NA,41,1415,"n/a","character(0)",10,45.3311307,-121.7110071,71
"112",112,"Mt. Hood Skibowl","http://www.skicentral.com/mthoodskibowl.html","Oregon","Government Camp, Oregon Mountain",1500,NA,300,65,960,"3 miles / 4.8 km","character(0)",9,45.3017422,-121.7724581,53
"113",113,"Mt. Hood Meadows","http://www.skicentral.com/mounthood.html","Oregon","Mount Hood, Oregon Mountain",2777,4523,430,85,2150,"3 miles / 4.8 km","character(0)",12,45.3317552,-121.6651848,82
"114",114,"Mt. Bachelor","http://www.skicentral.com/mt.bachelor.html","Oregon","Bend, Oregon Mountain",3365,6300,387,71,3685,"1.5 miles / 2.4 km","character(0)",13,44.0032939,-121.6787834,96
"115",115,"Anthony Lakes Ski Resort","http://www.skicentral.com/anthonylakesskiresort.html","Oregon","character(0)",900,7100,300,21,1100,"1.5 miles / 2.4 km","character(0)",3,44.9993663,-118.0542452,35
"116",116,"Cooper Spur","http://www.skicentral.com/cooperspur.html","Oregon","Mount Hood, Oregon Mountain",350,4000,NA,10,50,"n/a","character(0)",2,45.4116278,-121.605828,39
"117",117,"Hoodoo","http://www.skicentral.com/hoodoo.html","Oregon","Sisters, Oregon Mountain",1035,4668,450,34,800,"3 miles / 4.8 km","no",5,44.408755,-121.871381,53
"118",118,"Mt. Ashland","http://www.skicentral.com/mtashland.html","Oregon","Ashland, Oregon Mountain",1150,6338,300,23,220,"5280 feet / 1609 metres","character(0)",4,42.0806826,-122.716849,49
"119",119,"Spout Springs Ski Resort","http://www.skicentral.com/spoutspringsskiresort.html","Oregon","Weston, Oregon Mountain",530,4920,130,13,NA,"n/a","no",2,45.755563,-118.0509173,35
"120",120,"Summit Ski Area","http://www.skicentral.com/summitskiarea.html","Oregon","Government Camp, Oregon Mountain",300,4000,150,3,70,"n/a","character(0)",2,45.3029059,-121.7458283,35
"121",121,"Ferguson Ridge","http://www.skicentral.com/fergusonridge.html","Oregon","Joseph, Oregon Mountain",640,5200,NA,8,NA,"n/a","character(0)",2,45.2821717,-117.1125734,20
"122",122,"Warner Canyon Ski Area","http://www.skicentral.com/warnercanyonskiarea.html","Oregon","Lakeview, Oregon Mountain",1080,5700,NA,21,NA,"n/a","character(0)",1,42.2369038,-120.2954878,32
"123",123,"Willamette Pass","http://www.skicentral.com/willamettepass.html","Oregon","character(0)",1563,5120,430,29,555,"2.1 miles / 3.4 km","character(0)",6,43.600706,-122.036475,60
"124",124,"Park City","http://www.skicentral.com/parkcity.html","Utah","Park City, Utah Up to 40% Off Park City Lodging & Complete Ski Package DiscountsPremier Park City lodging up to 40% off & early booking lift ticket specials. Book early & save with Rocky ",3100,6900,370,114,3300,"n/a","yes",19,40.6460622,-111.4979729,122
"125",125,"Snowbird","http://www.skicentral.com/snowbird.html","Utah","Snowbird Lodge, Utah Snowbird Lodging & Ski Vacation Package Specials!Premier Snowbird lodging & complete ski vacation packages specials. Book early & save with Rocky ",3240,7760,500,85,2500,"2.5 miles / 4 km","character(0)",13,40.5809815,-111.6576151,NA
"126",126,"Deer Valley Resort","http://www.skicentral.com/deervalley.html","Utah","Park City, Utah 25% Off Early booking Special Deer Valley Lodging & Ski PackagesPremier Deer Valley lodging and complete ski packages 25% off early booking special. Rocky ",3000,6570,300,100,2026,"2.8 miles / 4.5 km","yes",21,40.63738,-111.478306,135
"127",127,"Canyons Resort","http://www.skicentral.com/thecanyons.html","Utah","character(0)",3190,6800,355,182,4000,"n/a","character(0)",21,40.6860185,-111.5560689,122
"128",128,"Alta Ski Area","http://www.skicentral.com/alta.html","Utah","Alta, Utah Great Deals on Alta/Snowbird Ski Vacation PackagesPremier Alta & Snowbird lodging & ski vacation package specials. ",2020,8530,560,116,2200,"n/a","yes",12,40.5882661,-111.6358047,104
"129",129,"Solitude Ski Resort","http://www.skicentral.com/solitude.html","Utah","Solitude, Utah Solitude Lodging & Ski Vacation Package Specials!Premier Solitude lodging & complete ski vacation packages specials. Book early & save with Rocky ",2047,7988,500,65,1200,"n/a","yes",8,40.619852,-111.591885,88
"130",130,"Brian Head","http://www.skicentral.com/brianhead.html","Utah","Brian Head, Utah Mountain",1707,9600,400,71,665,"n/a","yes",8,37.6927551,-112.8507766,59
"131",131,"Powder Mountain","http://www.skicentral.com/powdermountain.html","Utah","Eden, Utah ",2500,6900,500,135,7000,"n/a","character(0)",7,41.378963,-111.780685,85
